"","date","serial_number","model","capacity_bytes","failure","smart_9_raw","smart_5_normalized","smart_10_normalized","smart_197_normalized","smart_198_normalized"
"1","2019-01-01","ZA153SZQ","Seagate",8,0,13536,100,100,100,100
"2","2019-01-02","ZA153SZQ","Seagate",8,0,13560,100,100,100,100
"3","2019-01-03","ZA153SZQ","Seagate",8,0,13584,100,100,100,100
"4","2019-01-04","ZA153SZQ","Seagate",8,0,13608,100,100,100,100
"5","2019-01-05","ZA153SZQ","Seagate",8,0,13632,100,100,100,100
"6","2019-01-06","ZA153SZQ","Seagate",8,0,13656,100,100,100,100
"7","2019-01-07","ZA153SZQ","Seagate",8,0,13680,100,100,100,100
"8","2019-01-08","ZA153SZQ","Seagate",8,0,13704,100,100,100,100
"9","2019-01-09","ZA153SZQ","Seagate",8,0,13728,100,100,100,100
"10","2019-01-10","ZA153SZQ","Seagate",8,0,13752,100,100,100,100
"11","2019-01-11","ZA153SZQ","Seagate",8,0,13772,100,100,100,100
"12","2019-01-12","ZA153SZQ","Seagate",8,0,13788,100,100,100,100
"13","2019-01-13","ZA153SZQ","Seagate",8,0,13819,100,100,100,100
"14","2019-01-14","ZA153SZQ","Seagate",8,0,13835,100,100,100,100
"15","2019-01-15","ZA153SZQ","Seagate",8,0,13868,100,100,100,100
"16","2019-01-16","ZA153SZQ","Seagate",8,0,13883,100,100,100,100
"17","2019-01-17","ZA153SZQ","Seagate",8,0,13915,100,100,100,100
"18","2019-01-18","ZA153SZQ","Seagate",8,0,13947,100,100,100,100
"19","2019-01-19","ZA153SZQ","Seagate",8,0,13963,100,100,100,100
"20","2019-01-20","ZA153SZQ","Seagate",8,0,13994,100,100,100,100
"21","2019-01-21","ZA153SZQ","Seagate",8,0,14010,100,100,100,100
"22","2019-01-22","ZA153SZQ","Seagate",8,0,14042,100,100,100,100
"23","2019-01-23","ZA153SZQ","Seagate",8,0,14058,100,100,100,100
"24","2019-01-24","ZA153SZQ","Seagate",8,0,14089,100,100,100,100
"25","2019-01-25","ZA153SZQ","Seagate",8,0,14105,100,100,100,100
"26","2019-01-26","ZA153SZQ","Seagate",8,0,14137,100,100,100,100
"27","2019-01-27","ZA153SZQ","Seagate",8,0,14153,100,100,100,100
"28","2019-01-28","ZA153SZQ","Seagate",8,0,14185,100,100,100,100
"29","2019-01-29","ZA153SZQ","Seagate",8,0,14200,100,100,100,100
"30","2019-01-30","ZA153SZQ","Seagate",8,0,14232,100,100,100,100
"31","2019-01-31","ZA153SZQ","Seagate",8,0,14248,100,100,100,100
"32","2019-02-01","ZA153SZQ","Seagate",8,0,14280,100,100,100,100
"33","2019-02-02","ZA153SZQ","Seagate",8,0,14296,100,100,100,100
"34","2019-02-03","ZA153SZQ","Seagate",8,0,14327,100,100,100,100
"35","2019-02-04","ZA153SZQ","Seagate",8,0,14343,100,100,100,100
"36","2019-02-05","ZA153SZQ","Seagate",8,0,14375,100,100,100,100
"37","2019-02-06","ZA153SZQ","Seagate",8,0,14391,100,100,100,100
"38","2019-02-07","ZA153SZQ","Seagate",8,0,14423,100,100,100,100
"39","2019-02-08","ZA153SZQ","Seagate",8,0,14438,100,100,100,100
"40","2019-02-09","ZA153SZQ","Seagate",8,0,14470,100,100,100,100
"41","2019-02-10","ZA153SZQ","Seagate",8,0,14486,100,100,100,100
"42","2019-02-11","ZA153SZQ","Seagate",8,0,14518,100,100,100,100
"43","2019-02-12","ZA153SZQ","Seagate",8,0,14534,100,100,100,100
"44","2019-02-13","ZA153SZQ","Seagate",8,0,14565,100,100,100,100
"45","2019-02-14","ZA153SZQ","Seagate",8,0,14581,100,100,100,100
"46","2019-02-15","ZA153SZQ","Seagate",8,0,14613,100,100,100,100
"47","2019-02-16","ZA153SZQ","Seagate",8,0,14629,100,100,100,100
"48","2019-02-17","ZA153SZQ","Seagate",8,0,14661,100,100,100,100
"49","2019-02-18","ZA153SZQ","Seagate",8,0,14677,100,100,100,100
"50","2019-02-19","ZA153SZQ","Seagate",8,0,14708,100,100,100,100
"51","2019-02-20","ZA153SZQ","Seagate",8,0,14724,100,100,100,100
"52","2019-02-21","ZA153SZQ","Seagate",8,0,14756,100,100,100,100
"53","2019-02-22","ZA153SZQ","Seagate",8,0,14772,100,100,100,100
"54","2019-02-23","ZA153SZQ","Seagate",8,0,14803,100,100,100,100
"55","2019-02-24","ZA153SZQ","Seagate",8,0,14819,100,100,100,100
"56","2019-02-25","ZA153SZQ","Seagate",8,0,14851,100,100,100,100
"57","2019-02-26","ZA153SZQ","Seagate",8,0,14867,100,100,100,100
"58","2019-02-27","ZA153SZQ","Seagate",8,0,14899,100,100,100,100
"59","2019-02-28","ZA153SZQ","Seagate",8,0,14915,100,100,100,100
"60","2019-03-01","ZA153SZQ","Seagate",8,1,14946,100,100,100,100
"61","2019-04-07","ZA153SZQ","Seagate",0,0,NA,NA,NA,NA,NA
"62","2019-04-08","ZA153SZQ","Seagate",8,1,15010,97,100,100,100
